Loss_Adversary	Loss_Target	
-0.3717	0.3216	0.9389	
-0.3737	0.3105	0.9335	
-0.3732	0.3068	0.9297	
-0.3746	0.3050	0.9307	
-0.3735	0.3035	0.9275	
-0.3744	0.2961	0.9231	
-0.3744	0.2982	0.9247	
-0.3749	0.2990	0.9262	
-0.3749	0.2979	0.9253	
-0.3744	0.2957	0.9226	
-0.3751	0.2922	0.9211	
-0.3739	0.2951	0.9213	
-0.3750	0.2947	0.9229	
-0.3750	0.2936	0.9221	
-0.3749	0.2915	0.9201	
-0.3755	0.2920	0.9217	
-0.3754	0.2950	0.9239	
-0.3758	0.2934	0.9233	
-0.3753	0.2944	0.9232	
-0.3743	0.2932	0.9205	
-0.3749	0.2895	0.9185	
-0.3762	0.2893	0.9206	
-0.3749	0.2956	0.9234	
-0.3746	0.2969	0.9240	
-0.3755	0.2925	0.9220	
-0.3750	0.2915	0.9203	
-0.3766	0.2901	0.9220	
-0.3754	0.2927	0.9221	
-0.3756	0.2918	0.9217	
-0.3761	0.2909	0.9218	
-0.3756	0.2920	0.9218	
-0.3759	0.2893	0.9201	
-0.3767	0.2875	0.9200	
-0.3755	0.2915	0.9213	
-0.3764	0.2897	0.9214	
-0.3757	0.2899	0.9203	
-0.3755	0.2917	0.9214	
-0.3758	0.2912	0.9215	
-0.3773	0.2865	0.9205	
-0.3761	0.2894	0.9206	
-0.3768	0.2872	0.9201	
-0.3761	0.2900	0.9212	
-0.3765	0.2885	0.9205	
-0.3760	0.2885	0.9197	
-0.3762	0.2887	0.9202	
-0.3768	0.2884	0.9211	
-0.3767	0.2883	0.9208	
-0.3765	0.2893	0.9212	
-0.3766	0.2884	0.9206	
-0.3766	0.2891	0.9213	
-0.3756	0.2915	0.9214	
-0.3760	0.2882	0.9195	
-0.3763	0.2877	0.9197	
-0.3759	0.2896	0.9204	
-0.3762	0.2885	0.9200	
-0.3768	0.2856	0.9188	
-0.3770	0.2848	0.9184	
-0.3761	0.2896	0.9207	
-0.3768	0.2886	0.9212	
-0.3773	0.2871	0.9209	
-0.3750	0.2910	0.9199	
-0.3758	0.2888	0.9197	
-0.3763	0.2878	0.9196	
-0.3767	0.2870	0.9197	
-0.3768	0.2845	0.9179	
-0.3764	0.2873	0.9195	
-0.3769	0.2883	0.9212	
-0.3768	0.2866	0.9195	
-0.3779	0.2827	0.9183	
-0.3773	0.2840	0.9183	
-0.3760	0.2861	0.9178	
-0.3770	0.2818	0.9159	
-0.3771	0.2791	0.9140	
-0.3782	0.2779	0.9149	
-0.3769	0.2816	0.9157	
-0.3776	0.2754	0.9119	
-0.3759	0.2825	0.9145	
-0.3787	0.2788	0.9166	
-0.3777	0.2757	0.9124	
-0.3776	0.2767	0.9129	
-0.3787	0.2750	0.9137	
-0.3785	0.2766	0.9146	
-0.3770	0.2801	0.9146	
-0.3783	0.2803	0.9170	
-0.3785	0.2770	0.9149	
-0.3775	0.2713	0.9083	
-0.3787	0.2781	0.9161	
-0.3780	0.2816	0.9177	
-0.3784	0.2720	0.9106	
-0.3787	0.2757	0.9142	
-0.3781	0.2792	0.9160	
-0.3784	0.2718	0.9103	
-0.3795	0.2741	0.9142	
-0.3785	0.2801	0.9173	
-0.3796	0.2725	0.9131	
-0.3786	0.2704	0.9096	
-0.3792	0.2769	0.9160	
-0.3792	0.2737	0.9134	
-0.3799	0.2694	0.9112	
-0.3793	0.2723	0.9123	
-0.3791	0.2695	0.9098	
-0.3792	0.2775	0.9166	
-0.3788	0.2785	0.9165	
-0.3798	0.2684	0.9101	
-0.3798	0.2683	0.9100	
-0.3799	0.2722	0.9134	
-0.3801	0.2711	0.9128	
-0.3800	0.2664	0.9089	
-0.3787	0.2717	0.9109	
-0.3786	0.2763	0.9144	
-0.3797	0.2737	0.9142	
-0.3795	0.2666	0.9081	
-0.3793	0.2726	0.9127	
-0.3794	0.2728	0.9130	
-0.3787	0.2706	0.9099	
-0.3797	0.2727	0.9135	
-0.3803	0.2739	0.9156	
-0.3795	0.2654	0.9070	
-0.3802	0.2697	0.9120	
-0.3791	0.2789	0.9174	
-0.3796	0.2669	0.9085	
-0.3794	0.2751	0.9148	
-0.3798	0.2705	0.9118	
-0.3795	0.2706	0.9115	
-0.3791	0.2739	0.9133	
-0.3792	0.2697	0.9100	
-0.3796	0.2684	0.9099	
-0.3795	0.2714	0.9121	
-0.3803	0.2720	0.9139	
-0.3802	0.2680	0.9105	
-0.3802	0.2676	0.9103	
-0.3790	0.2739	0.9133	
-0.3803	0.2651	0.9084	
-0.3805	0.2670	0.9102	
-0.3803	0.2714	0.9135	
-0.3800	0.2711	0.9127	
-0.3805	0.2693	0.9121	
-0.3801	0.2701	0.9121	
-0.3802	0.2683	0.9108	
-0.3799	0.2671	0.9092	
-0.3802	0.2736	0.9150	
-0.3788	0.2713	0.9106	
-0.3796	0.2693	0.9106	
-0.3797	0.2727	0.9134	
-0.3802	0.2690	0.9113	
-0.3800	0.2710	0.9126	
-0.3800	0.2658	0.9084	
-0.3803	0.2721	0.9142	
-0.3798	0.2668	0.9089	
-0.3803	0.2665	0.9095	
-0.3805	0.2695	0.9123	
-0.3803	0.2711	0.9133	
-0.3803	0.2632	0.9068	
-0.3800	0.2680	0.9102	
-0.3793	0.2761	0.9155	
-0.3792	0.2700	0.9104	
-0.3784	0.2698	0.9087	
-0.3805	0.2697	0.9125	
-0.3794	0.2670	0.9084	
-0.3806	0.2714	0.9140	
-0.3789	0.2721	0.9115	
-0.3803	0.2618	0.9056	
-0.3801	0.2778	0.9183	
-0.3811	0.2650	0.9097	
-0.3810	0.2636	0.9084	
-0.3798	0.2743	0.9149	
-0.3808	0.2634	0.9078	
-0.3798	0.2675	0.9094	
-0.3807	0.2689	0.9122	
-0.3787	0.2720	0.9110	
-0.3799	0.2681	0.9101	
-0.3803	0.2642	0.9077	
-0.3797	0.2681	0.9097	
-0.3811	0.2727	0.9161	
-0.3794	0.2705	0.9112	
-0.3804	0.2672	0.9102	
-0.3807	0.2647	0.9088	
-0.3806	0.2696	0.9126	
