Loss_Adversary	Loss_Target	
-0.3079	0.1065	0.7886	
-0.3075	0.0985	0.7783	
-0.3078	0.1038	0.7852	
-0.3080	0.1122	0.7954	
-0.3081	0.1155	0.7995	
-0.3081	0.1180	0.8022	
-0.3071	0.0946	0.7730	
-0.3081	0.1121	0.7954	
-0.3069	0.0906	0.7679	
-0.3080	0.1284	0.8142	
-0.3077	0.1034	0.7846	
-0.3082	0.1301	0.8166	
-0.3074	0.0957	0.7749	
-0.3080	0.1114	0.7943	
-0.3081	0.1195	0.8040	
-0.3076	0.1016	0.7823	
-0.3080	0.1127	0.7959	
-0.3082	0.1138	0.7977	
-0.3079	0.1033	0.7848	
-0.3081	0.1252	0.8106	
-0.3082	0.1083	0.7914	
-0.3080	0.1071	0.7894	
-0.3076	0.0989	0.7791	
-0.3082	0.1129	0.7965	
-0.3083	0.1157	0.8001	
-0.3081	0.1070	0.7895	
-0.3079	0.0995	0.7804	
-0.3078	0.1314	0.8173	
-0.3073	0.0951	0.7740	
-0.3083	0.1206	0.8057	
-0.3076	0.0976	0.7776	
-0.3077	0.1025	0.7835	
-0.3085	0.1165	0.8015	
-0.3083	0.1114	0.7951	
-0.3080	0.1040	0.7859	
-0.3081	0.1310	0.8174	
-0.3073	0.0924	0.7710	
-0.3082	0.1177	0.8023	
-0.3081	0.1137	0.7974	
-0.3078	0.0984	0.7790	
-0.3082	0.1126	0.7963	
-0.3077	0.1013	0.7821	
-0.3082	0.1142	0.7981	
-0.3079	0.0993	0.7802	
-0.3080	0.1140	0.7975	
-0.3077	0.0988	0.7791	
-0.3081	0.1284	0.8144	
-0.3071	0.0902	0.7680	
-0.3081	0.1323	0.8190	
-0.3076	0.0950	0.7746	
-0.3083	0.1282	0.8147	
-0.3077	0.0933	0.7729	
-0.3085	0.1150	0.7997	
-0.3084	0.1226	0.8084	
-0.3084	0.1050	0.7877	
-0.3086	0.1184	0.8039	
-0.3084	0.1095	0.7930	
-0.3074	0.0928	0.7717	
-0.3081	0.1368	0.8240	
-0.3073	0.0923	0.7708	
-0.3082	0.1255	0.8113	
-0.3080	0.0983	0.7792	
-0.3084	0.1083	0.7916	
-0.3078	0.0984	0.7790	
-0.3085	0.1196	0.8050	
-0.3074	0.0917	0.7704	
-0.3082	0.1281	0.8142	
-0.3084	0.1167	0.8014	
-0.3085	0.1199	0.8055	
-0.3086	0.1123	0.7967	
-0.3084	0.1178	0.8028	
-0.3081	0.1015	0.7831	
-0.3084	0.1234	0.8092	
-0.3077	0.0980	0.7781	
-0.3082	0.1153	0.7994	
